,address,phone,shop_name
0,"425 W Irving Blvd, Irving, TX 75060",(972) 253-7335,Joe's Coffee Shop
1,"545 E John Carpenter Fwy Ste 150, Irving, TX 75062",(214) 574-5000,Mason's Cafe 4
2,"6550 N Macarthur Blvd, Irving, TX 75039",(972) 506-7444,Chaat Cafe
3,"8450 N Belt Line Rd, Irving, TX 75063",(972) 506-0577,Starbucks Coffee
4,"3333 W Airport Fwy, Irving, TX 75062",(972) 252-9888,Peet's Coffee & Tea
5,"511 E John Carpenter Fwy Ste P200, Irving, TX 75062",(972) 401-8878,La Cuisine Cafe
6,"300 E John Carpenter Fwy, Irving, TX 75062",(214) 441-9500,Mason's Cafe
7,"4070 N Belt Line Rd Ste 99, Irving, TX 75038",(315) 489-4476,Supreme Coffee
8,"401 Cimarron Trl, Irving, TX 75063",(972) 409-6838,Daily Grind Coffe Company
9,"109 Irby Ln, Irving, TX 75061",(972) 254-2633,Big D Coffee & Vending
10,"2301 N O Connor Rd Ste M, Irving, TX 75062",(972) 255-8400,Pj's Cafe
11,"1735 N Story Rd Ste 172, Irving, TX 75061",(469) 647-5149,Wonderful World of Cooking
12,"387 Las Colinas Blvd E Ste 120, Irving, TX 75039",(972) 401-0000,Victor
13,"4117 N Story Rd, Irving, TX 75038",(972) 255-0656,Dubai Cafe
14,"1820 Valley View Ln, Irving, TX 75061",(972) 871-7193,Cafe Madina
15,"2300 Valley View Ln, Irving, TX 75062",(972) 823-0000,Valley View Cafe
16,"6333 N State Highway 161 Ste 250, Irving, TX 75038",(972) 550-0675,Celebrity Cafe Management
17,"7338 Parkridge Blvd, Irving, TX 75063",(214) 695-7220,Learn Java By Venkata Reddy Kallam
18,"2435 Kinwest Pkwy, Irving, TX 75063",(972) 443-3323,Mosaic Cafe
19,"2435 Kinwest Pkwy, Irving, TX 75063",(972) 560-4623,Cuppa Espresso Bar
20,"8350 N Macarthur Blvd, Irving, TX 75063",(469) 420-9206,Betra Cafe
21,"8081 Royal Ridge Pkwy Ste 75063, Irving, TX 75063",(214) 994-3680,Zack's Café
22,"303 N Story Rd, Irving, TX 75061",(972) 513-0371,Aurora's Cafe
23,"200 Union Bower Ct Ste 220, Irving, TX 75061",(972) 573-3270,Lone Star Cafe
24,"3401 W Airport Fwy Ste 132, Irving, TX 75062",(972) 257-0610,L J Cafe
25,"1825 Esters RD, Irving, TX 75061",(469) 586-4583,Blacc Diamond Cafe
26,"909 Lake Carolyn Pkwy Ste 40, Irving, TX 75039",(972) 373-9300,Mason's Cafe
27,"2851 Esters Rd, Irving, TX 75062",(214) 596-1584,Kasbah Cafe and Mediteranean Grocery
28,"2300 Valley View Ln, Irving, TX 75062",(469) 586-5786,Metro Cafe
29,"919 Hidden Rdg, Irving, TX 75038",(972) 717-4100,Mason's Cafe 10
